iTemp,eTemp,X,Y,Z,pressure,time,GPS coord,GPS coord,Alt
20.1796875,16.4296875,133.285,156.221,967.338,854.76,73026.0,45.668205333333326,-111.060827,0.0,20.68
20.15625,16.3828125,135.42,156.648,965.386,854.75,73026.0,45.668205333333326,-111.060827,0.0,20.68
20.2890625,16.40625,132.858,157.746,967.643,854.74,73029.0,45.66821733333333,-111.06083583333333,1486.0,20.68
20.3046875,16.390625,133.895,157.685,970.388,854.74,73031.0,45.668225333333346,-111.06083716666666,1485.0,20.68
20.203125,16.40625,133.102,158.173,969.168,854.73,73033.0,45.66823099999999,-111.06083583333333,1484.0,20.67
20.171875,16.6796875,133.59,155.79399999999998,965.3249999999999,854.73,73035.0,45.668236166666674,-111.06083116666666,1483.0,20.67
20.15625,16.421875,133.834,157.624,966.24,854.72,73037.0,45.66824433333333,-111.06082533333334,1481.0,20.66
20.15625,16.40625,135.115,155.855,964.898,854.72,73039.0,45.66824483333333,-111.06082433333336,1481.0,20.66
20.1640625,16.4140625,134.81,156.953,967.0939999999999,854.71,73042.0,0.0,-111.06081933333334,17.0,20.66
20.2890625,16.3984375,136.518,159.698,967.338,854.71,73043.0,45.668240499999996,-111.06082016666664,17.0,20.66
20.21875,16.3984375,134.627,154.452,965.813,854.7,73043.0,45.668240499999996,-111.06082016666664,17.0,20.65
20.1796875,16.375,134.444,159.149,966.4839999999999,854.69,73046.0,45.66824116666666,-111.060824,1482.0,20.65
20.140625,16.6953125,134.566,157.746,969.9,854.78,73048.0,45.66823483333332,-111.06081983333334,1483.0,20.64
20.1484375,16.4296875,133.773,157.563,966.1179999999999,854.68,73050.0,45.668232,-111.06081716666668,1483.0,20.64
20.1328125,16.3828125,135.969,157.197,968.924,854.67,73052.0,45.668233166666674,-111.06081600000002,1483.0,20.63
20.2890625,16.40625,134.627,157.136,971.059,854.66,73054.0,45.66823666666666,-111.06081583333334,1482.0,20.63
20.2578125,16.375,135.542,157.441,967.155,854.76,73056.0,45.66823933333333,-111.06081833333336,1482.0,20.63
20.125,16.375,134.383,154.81799999999998,971.425,854.75,73059.0,0.0,-111.06082233333333,0.0,20.62
20.109375,16.40625,134.81,155.855,982.832,854.74,73101.0,45.66825083333333,-111.06082933333334,1480.0,20.62
20.140625,16.671875,134.139,157.807,968.558,854.74,73101.0,45.66825083333333,-111.06082933333334,1480.0,20.62
20.1328125,16.3984375,134.871,157.014,969.717,854.73,73103.0,45.668256333333325,-111.06083799999999,1479.0,20.61
20.1171875,16.40625,133.895,156.953,969.107,854.73,73105.0,45.668264,-111.06084433333332,1479.0,20.61
20.25,16.40625,134.627,157.197,966.789,854.72,73107.0,45.668272,-111.06085483333332,1478.0,20.61
20.171875,16.4296875,134.505,156.831,969.2289999999999,854.72,73109.0,45.66819,-111.06085133333333,1496.0,20.61
20.1015625,16.4140625,133.224,157.868,967.4599999999999,854.71,73111.0,45.66815233333333,-111.06084666666666,1504.0,20.6
20.1328125,16.390625,134.505,157.746,970.51,854.8,73113.0,45.668128499999995,-111.06084183333333,1509.0,20.6
20.1015625,16.6796875,135.847,156.77,967.582,854.69,73116.0,0.0,-111.06083283333335,17.0,20.59
20.109375,16.46875,134.139,156.953,964.898,854.69,73117.0,45.66809383333332,-111.06082166666666,17.0,20.59
20.109375,16.40625,132.43099999999998,154.57399999999998,961.116,854.77,73117.0,45.66809383333332,-111.06082166666666,17.0,20.58
20.203125,16.3828125,133.773,156.03799999999998,970.144,854.77,73120.0,45.66807683333332,-111.06082066666667,1518.0,20.58
20.0859375,16.390625,134.505,156.831,968.009,854.76,73122.0,45.668068833333336,-111.06082233333333,1520.0,20.57
20.0625,16.3828125,136.152,158.051,967.521,854.76,73124.0,45.668061666666674,-111.06082416666668,1521.0,20.57
20.078125,16.375,133.346,157.38,967.765,854.75,73126.0,45.66805800000001,-111.06082766666665,1522.0,20.57
20.0625,16.6640625,137.738,157.075,968.619,854.74,73128.0,45.66805583333333,-111.06083,1524.0,20.56
20.09375,16.4765625,134.444,158.112,969.9,854.73,73130.0,45.66805516666667,-111.06083400000001,1525.0,20.56
20.1953125,16.375,132.67499999999998,157.319,968.985,854.73,73133.0,0.0,-111.06083750000002,17.0,20.56
20.171875,16.34375,134.993,158.051,967.0939999999999,854.73,73134.0,45.66805349999999,-111.06083766666667,17.0,20.55
20.0703125,16.3984375,135.359,156.831,953.186,854.73,73134.0,45.66805349999999,-111.06083766666667,17.0,20.55
20.0703125,16.3359375,133.651,158.6,968.619,854.71,73137.0,45.668052666666675,-111.06082800000001,1529.0,20.55
20.046875,16.359375,135.725,155.79399999999998,967.582,854.71,73139.0,45.66805049999999,-111.06082166666666,1529.0,20.55
20.0546875,16.65625,134.749,158.478,967.399,854.7,73141.0,45.668047,-111.06081316666666,1529.0,20.54
20.0625,16.453125,133.346,158.844,967.338,854.8,73143.0,45.668045500000005,-111.06080666666666,1528.0,20.54
20.1640625,16.375,134.688,155.733,963.922,854.7,73145.0,45.66804416666667,-111.06080466666664,1528.0,20.54
20.0859375,16.34375,134.688,157.258,964.837,854.79,73147.0,45.668045,-111.06080783333334,1528.0,20.53
20.0078125,16.3828125,135.481,156.77,967.4599999999999,854.78,73150.0,45.66804449999999,-111.06080883333335,7.0,20.53
20.0390625,16.375,135.237,170.007,965.5079999999999,854.77,73151.0,45.668045666666664,-111.06081600000002,7.0,20.52
20.0546875,16.375,133.285,158.356,969.534,854.76,73151.0,45.668045666666664,-111.06081600000002,7.0,20.52
20.03125,16.6640625,134.749,159.576,967.887,854.76,73154.0,45.668043,-111.06081666666667,1524.0,20.52
20.1875,16.4765625,135.237,157.38,965.63,854.75,73156.0,45.66804066666668,-111.060814,1524.0,20.51
