iTemp,eTemp,X,Y,Z,pressure,time,GPS coord,GPS coord,Alt
15.390625,13.4609375,142.984,101.38199999999999,965.874,746.22,231817.0,45.918755833333336,-111.0766075,1699.0,14.11
15.3125,13.6875,147.68099999999998,100.345,979.233,746.41,231819.0,45.91875633333334,-111.07660333333334,1699.0,14.17
15.3046875,13.5546875,150.731,103.578,969.961,746.38,231821.0,45.91876416666667,-111.07659149999999,1698.0,14.16
15.3359375,13.4453125,147.19299999999998,104.676,970.8149999999999,746.47,231824.0,45.918763000000006,-111.07659683333334,1698.0,14.09
15.375,13.40625,168.177,103.7,967.155,746.52,231824.0,45.918763000000006,-111.07659683333334,1699.0,14.12
15.4140625,13.4765625,121.634,103.639,967.582,746.64,231826.0,45.918761833333335,-111.07659833333332,1699.0,14.2
15.515625,13.5625,149.633,104.188,979.233,746.64,231828.0,45.918759,-111.07659866666667,1700.0,14.26
15.375,13.640625,180.987,102.297,973.377,746.55,231830.0,45.91875633333334,-111.0765995,1699.0,14.27
15.3125,13.8359375,147.92499999999998,104.371,962.641,746.76,231832.0,45.918755666666655,-111.0766015,1699.0,14.28
15.328125,13.7734375,143.594,98.881,972.706,746.77,231834.0,45.918754666666665,-111.07660466666667,1699.0,14.29
15.328125,13.7421875,149.694,98.149,977.769,746.77,231836.0,45.91875499999999,-111.07660583333333,1699.0,14.35
15.390625,13.796875,147.986,102.724,977.22,746.76,231838.0,45.91875499999999,-111.07660733333331,1699.0,14.4
15.625,13.8203125,149.816,104.371,970.083,746.83,231841.0,45.918755833333336,-111.07660716666666,1699.0,14.39
15.578125,13.828125,151.646,99.67399999999999,956.663,746.78,231841.0,45.918755833333336,-111.07660716666666,1699.0,14.42
15.4296875,13.875,137.61599999999999,99.613,960.4449999999999,746.96,231843.0,45.91875816666667,-111.07660116666666,1700.0,14.41
15.515625,14.0546875,152.256,104.066,967.948,746.96,231845.0,45.9187595,-111.07659666666665,1699.0,14.47
15.59375,14.0234375,157.807,101.931,965.874,747.02,231847.0,45.91875916666666,-111.07659999999998,1700.0,14.51
15.7265625,13.9375,146.827,105.408,971.7909999999999,746.74,231849.0,45.91877183333333,-111.07661433333332,1700.0,14.58
15.78125,13.984375,145.302,97.295,972.9499999999999,746.65,231851.0,45.91876999999999,-111.07661433333332,1700.0,14.65
15.96875,13.9453125,141.52,101.748,974.841,746.94,231853.0,45.918770499999994,-111.07661433333332,1701.0,14.65
15.953125,13.8984375,177.083,115.89999999999999,1030.473,746.41,231856.0,0.0021041666666666665,-111.0766115,1700.0,14.62
15.828125,13.9609375,189.832,80.215,961.36,746.44,231858.0,0.0,-111.07661066666667,1700.0,14.63
15.9296875,14.0078125,148.84,102.907,953.9789999999999,746.94,231858.0,45.91877133333334,-111.07661066666667,1700.0,14.65
15.8828125,14.1015625,152.134,102.846,972.279,746.92,231900.0,45.91877216666667,-111.07661866666666,1698.0,14.64
15.921875,13.859375,141.52,104.798,982.405,746.85,231902.0,45.918772499999996,-111.07661966666667,1697.0,14.65
15.8984375,13.859375,155.123,102.785,986.4309999999999,746.14,231904.0,45.91877016666667,-111.07662200000001,1697.0,14.63
16.125,13.8828125,170.434,100.101,970.632,747.28,231906.0,45.918768500000006,-111.07662533333331,1697.0,14.74
